['CAW', 'dropped', 'Hakeem Nicks, NYG', '', '']
['NYC', 'dropped', 'Coby Fleener, Ind', '', '']
['CAW', 'added', 'Chris Ivory, NO', '$3', '']
['CAW', 'dropped', 'Taiwan Jones, Oak', '', '']
['CAW', 'added', 'Josh Morgan, Wsh', '$2', '']
['CAW', 'dropped', 'Titus Young, Det', '', '']
['HS', 'added', 'Bengals D/ST, Cin', '$2', '']
['HS', 'dropped', 'Chargers D/ST, SD', '', '']
['NYC', 'added', 'Robbie Gould, Chi', '$1', '']
['NYC', 'dropped', 'Rob Bironas, Ten', '', '']
['CAW', 'added', 'Scott Chandler, Buf', '$1', '']
['CAW', 'dropped', 'Davone Bess, Mia', '', '']
['USC', 'dropped', 'Pierre Thomas, NO', '', '']
['USC', 'added', 'Brent Celek, Phi', '$1', '']
